Secure Flash drive	secure_flash_drive
6B13 M assault armor (tan)	6B13_M_assault_armor_(tan)
IOTV Gen4 armor (assault kit)	IOTV_Gen4_armor_(assault_kit)
SSO "Attack 2" raid backpack	SSO_"Attack_2"_raid_backpack
IOTV Gen4 armor (full protection)	IOTV_Gen4_armor_(full_protection)
3V G Paratus 3-Day Operator's Tactical Backpack	3V_G_Paratus_3-Day_Operator's_Tactical_Backpack
Ana tactical Beta 2 battle backpack	Ana_tactical_Beta_2_battle_backpack
Duffle bag	Duffle_bag
Wartech Berkut VV-102 backpack	Wartech_Berkut_VV-102_backpack
6B47 Helmet with cover (flora digital)	6B47_Helmet_with_cover_(flora_digital)
Armasight NVG mask	Armasight_NVG_mask
UNTAR helmet	UNTAR_helmet
Highcom Striker ACHHC IIIA olive helmet	Highcom_Striker_ACHHC_IIIA_olive_helmet
Kiver-M Helmet	Kiver-M_Helmet
LZSh light helmet	LZSh_light_helmet
MSA ACH TC-2001 MICH Series Helmet	MSA_ACH_TC-2001_MICH_Series_Helmet
Burris FastFire 3 Reflex Sight	Burris_FastFire_3_Reflex_Sight
SHPM Firefighter's helmet	SHPM_Firefighter's_helmet
Vulkan-5 (LShZ-5) heavy helmet	Vulkan-5_(LShZ-5)_heavy_helmet
Flat screwdriver	Flat_screwdriver
Shemagh	Shemagh
4x Scope	ELCAN_SpecterDR_1x_4x_Scope
Ops-Core Fast MT SUPER HIGH CUT Helmet	Ops-Core_Fast_MT_SUPER_HIGH_CUT_Helmet
Highcom Striker ULACH IIIA helmet	Highcom_Striker_ULACH_IIIA_tan_helmet
Trijicon ACOG TA01NSN 4x32 scope	Trijicon_ACOG_TA01NSN_4x32_scope
OKP-7 reflex sight	OKP-7_reflex_sight
6B2 armor (flora)	6B2_armor_(flora)
Eotech HHS-1 sight	Eotech_HHS-1_sight
Items case	Items_case
Maska 1Sch helmet	Maska_1Sch_helmet
Immobilizing splint (alu)	Immobilizing_splint
AK-101 5.56x45 assault rifle	ak-101_5.56x45_assault_rifle
AK-102 5.56x45 assault rifle	ak-102_5.56x45_assault_rifle
AK-103 7.62x39 assault rifle	ak-103_7.62x39_assault_rifle
AK-104 7.62x39 assault rifle	ak-104_7.62x39_assault_rifle
AK-105 5.45x39 assault rifle	ak-105_5.45x39_assault_rifle
AK-74 5.45x39 assault rifle	ak-74_5.45x39_assault_rifle
AK-74M 5.45x39 assault rifle	ak-74m_5.45x39_assault_rifle
AK-74N 5.45x39 assault rifle	ak-74n_5.45x39_assault_rifle
AKM 7.62x39 assault rifle	akm_7.62x39_assault_rifle
AKMN 7.62x39 assault rifle	akmn_7.62x39_assault_rifle
AKMS 7.62x39 assault rifle	akms_7.62x39_assault_rifle
AKMSN 7.62x39 assault rifle	akmsn_7.62x39_assault_rifle
AKS-74 5.45x39 assault rifle	aks-74_5.45x39_assault_rifle
AKS-74N 5.45x39 assault rifle	aks-74n_5.45x39_assault_rifle
AS VAL	as_val
ASh-12 12.7x55 assault rifle	ash-12_12.7x55_assault_rifle
Colt M4A1 5.56x45 Assault Rifle	colt_m4a1_5.56x45_assault_rifle_not_func
DS Arms SA-58 7.62x51	ds_arms_sa-58_7.62x51_not_func
DT MDR 5.56x45 Assault Rifle	dt_mdr_5.56x45_assault_rifle_not_func
HK 416A5 5.56x45 Assault Rifle	hk_416a5_5.56x45_assault_rifle
Kalashnikov AKS-74U 5.45x39	kalashnikov_aks-74u_5.45x39
Kalashnikov AKS-74UB 5.45x39	kalashnikov_aks-74ub_5.45x39
Kalashnikov AKS-74UN 5.45x39	kalashnikov_aks-74un_5.45x39
DT MDR 7.62x51 Assault Rifle	dt_mdr_7.62x51_assault_rifle_not_func
ADAR 2-15 .223 Carbine	adar_2-15_.223_carbine_not_func
Lone Star TX-15 DML Rifle	lone_star_tx-15_dml_rifle_not_func
Simonov Semi-Automatic Carbine SKS 7.62x39	simonov_semi-automatic_carbine_sks_7.62x39
Simonov Semi-Automatic Carbine SKS 7.62x39 Hunting Rifle Version	simonov_semi-automatic_carbine_sks_7.62x39_hunting_rifle
 VPO-209 366TKM carbine	vepr_akm___vpo-209_366tkm_carbine
VPO-101 7.62x51 carbine	vepr_hunter_vpo-101_7.62x51_carbine
 VPO-136 7.62x39 carbine	vepr_km___vpo-136_7.62x39_carbine
DVL-10 Saboteur sniper rifle	dvl-10_saboteur_sniper_rifle
Mosin bolt-action infantry rifle	mosin_bolt-action_infantry_rifle
Mosin bolt-action sniper rifle	mosin_bolt-action_sniper_rifle
Orsis T-5000 .308 sniper rifle	orsis_t-5000_.308_sniper_rifle
Remington Model 700 Sniper rifle	remington_model_700_sniper_rifle
SV-98 bolt-action sniper rifle	sv-98_bolt-action_sniper_rifle
Molot VPO-215 .366 TKM rifle	molot_vpo-215_.366_tkm_rifle
RPK-16 5.45x39 light machine gun	rpk-16_5.45x39_light_machine_gun
Knight's Armament Company SR-25 7.62x51	knight's_armament_company_sr-25_7.62x51
Remington R11 RSASS 7.62x51	remington_r11_rsass_7.62x51
Special Sniper Rifle VSS Vintorez	special_sniper_rifle_vss_vintorez
Springfield Armory M1A 7.62x51	springfield_armory_m1a_7.62x51
SVDS 7.62x54 Sniper rifle	svds_7.62x54_sniper_rifle
6h5 Bayonet	6h5_bayonet
Antique axe	antique_axe
Bars A-2607- 95x18	bars_a-2607-_95x18
Bars A-2607- Damascus	bars_a-2607-_damascus
Camper axe	camper_axe
Crash Axe	crash_axe
ER Fulcrum Bayonet	er_fulcrum_bayonet
Freeman crowbar	freeman_crowbar
Kiba Arms Tactical Tomahawk	kiba_arms_tactical_tomahawk
Miller Bros. Blades M-2 Tactical Sword	m-2_tactical_sword
MPL-50 entrenching tool	mpl-50_entrenching_tool
SP-8 Survival Machete	sp-8_survival_machete
9x21 Serdyukov automatic pistol SR1MP Gyurza	9x21_serdyukov_automatic_pistol_sr1mp_gyurza
Beretta M9A3 9x19 pistol	beretta_m9a3_9x19_pistol
FN Five-seveN MK2 5.7x28 pistol	fn_five-seven_mk2_5.7x28_pistol
GLOCK 17 9x19 pistol	glock_17_9x19_pistol
GLOCK 18C 9x19 pistol	glock_18c_9x19_pistol
P226R 9x19 pistol	p226r_9x19_pistol
PB 9x18PM silenced pistol	pb_9x18pm_silenced_pistol
PM 9x18PM pistol	pm_9x18pm_pistol
PM (t) 9x18PM pistol	pm_(t)_9x18pm_pistol
Silenced Stechkin Automatic Pistol 9x18PM	silenced_stechkin_automatic_pistol_9x18pm
Stechkin Automatic Pistol 9x18PM	stechkin_automatic_pistol_9x18pm
TT pistol 7.62x25 TT Gold	tt_pistol_7.62x25_tt_gold
Yarygin MP-443 Grach 9x19 pistol	yarygin_mp-443_grach_9x19_pistol
TT pistol 7.62x25 TT	tt_pistol_7.62x25_tt
FN Five-seveN MK2 FDE Frame 5.7x28 pistol	fn_five-seven_mk2_fde_frame_5.7x28_pistol
MP-133 12ga shotgun	mp-133_12ga_shotgun
MP-153 12ga semi-automatic shotgun	mp-153_12ga_semi-automatic_shotgun
Remington Model 870 12ga shotgun	remington_model_870_12ga_shotgun
76 shotgun	saiga_12ga_ver._10_12_76_shotgun
TOZ-106 bolt-action shotgun	toz-106_bolt-action_shotgun
B&T MP9 9x19 submachinegun	b&t_mp9_9x19_submachinegun
FN P90 5.7x28 submachinegun	fn_p90_5.7x28_submachinegun
HK MP5 9x19 submachinegun (Navy 3 Round Burst)	hk_mp5_9x19_submachinegun_(navy_3_round_burst)
HK MP5 Kurz 9x19 submachinegun	hk_mp5_kurz_9x19_submachinegun
HK MP7A1 4.6x30 submachinegun	hk_mp7a1_4.6x30_submachinegun
HK MP7A2 4.6x30 submachinegun	hk_mp7a2_4.6x30_submachinegun
PP-9 Klin 9x18PMM SMG	pp-9_klin_9x18pmm_smg
PP-91 Kedr 9x18PM SMG	pp-91_kedr_9x18pm_smg
PP-91-01 Kedr-B 9x18PM SMG	pp-91-01_kedr-b_9x18pm_smg
Saiga-9 9x19 Carbine	saiga-9_9x19_carbine
SIG MPX 9x19 Submachine gun	sig_mpx_9x19_submachine_gun
Submachinegun PP-19-01 Vityaz-SN 9x19	submachinegun_19-01_vityaz-sn_9x19
B&T MP9-N 9x19 Submachinegun	b&t_mp9-n_9x19_submachinegun
F-1 Hand grenade	f-1_hand_grenade
M67 Hand grenade	m67_hand_grenade
RDG-2B Smoke grenade	rdg-2b_smoke_grenade
RGD-5 hand grenade	rgd-5_hand_grenade
Zarya stun grenade	zarya_stun_grenade
5.56x45 mm M995	5.56x45_mm_m995
9x39 mm 7N12 BP	9x39_mm_7n12_bp
4.6x30mm AP SX	4.6x30mm_ap_sx
5.45x39 mm 7N39 "Igolnik"	5.45x39_mm_7n39_igolnik
5.45x39 mm BS	5.45x39_mm_bs
7.62x39 mm BP	7.62x39_mm_bp
7.62x51 mm M61	7.62x51_mm_m61
9x39 mm 7N9 SPP	9x39_mm_7n9_spp
7.62x54R 7N37	7.62x54r_7n37
9x19 mm RIP	9x19_mm_rip
9x19 mm AP 6.3	9x19_mm_ap_6.3
5.56x45 mm M856A1	5.56x45_mm_m856a1
9x39 mm SP-6	9x39_mm_sp-6
7.62x51 mm M62	7.62x51_mm_m62
5.56x45 mm M855A1	5.56x45_mm_m855a1
7.62x54R 7N1 Sniper cartridge	7.62x54r_7n1_sniper_cartridge
5.45x39 mm BT	5.45x39_mm_bt
5.56x45 mm Warmage	5.56x45mm_warmage
7.62x54R 7BT1	7.62x54r_7bt1
5.7x28 mm SB193	5.7x28_mm_sb193
12x70 RIP	12x70_rip
12.7x55 mm PS12B	12.7x55_mm_ps12b
5.45x39 mm BP	5.45x39_mm_bp
9x19 mm Luger CCI	9x19_mm_luger_cci
5.7x28 mm SS198LF	5.7x28_mm_ss198lf
4.6x30mm Subsonic SX	4.6x30mm_subsonic_sx
4.6x30mm FMJ SX	4.6x30mm_fmj_sx
7.62x54R SNB	7.62x54r_snb
7.62x51 mm Ultra Nosler	7.62x51_mm_ultra_nosler
5.7x28 mm L191	5.7x28_mm_l191
9x21 mm SP13	9x21_mm_sp13
5.7x28 mm R37.F	5.7x28_mm_r37.f
5.56x45 mm M855	5.56x45_mm_m855
5.7x28 mm SS190	5.7x28_mm_ss190
9x21 mm SP12	9x21_mm_sp12
5.7x28 mm SS197SR	5.7x28_mm_ss197sr
7.62x51 mm M80	7.62x51_mm_m80
12.7x55 mm PS12	12.7x55_mm_ps12
5.7x28 mm R37.X	5.7x28_mm_r37.x
7.62x54R T-46M	7.62x54r_t-46m
5.56x45 mm Mk 255 Mod 0	5.56x45_mm_mk_255_mod_0
7.62x39 mm US	7.62x39_mm_us
9x18 mm PM SP7 gzh	9x18_mm_pm_sp7_gzh
5.45x39 mm PP	5.45x39_mm_pp
9x21 mm SP11	9x21_mm_sp11
9x18 mm PM PMM	9x18_mm_pm_pmm
5.56x45 mm M856	5.56x45_mm_m856
9x39 mm SP-5	9x39_mm_sp-5
9x21 mm SP10	9x21_mm_sp10
7.62x54R LPS Gzh	7.62x54r_lps_gzh
70 AP-20 Slug	12_70_ap-20_slug
4.6x30mm Action SX	4.6x30mm_action_sx
7.62x51 mm BPZ FMJ	7.62x51_mm_bpz_fmj
5.56x45 mm 55 FMJ	5.56x45_mm_55_fmj
7.62x51 mm TPZ SP	7.62x51_mm_tpz_sp
7.62x39 mm PS	7.62x39_mm_ps
5.45x39 mm SP	5.45x39_mm_sp
12.7x55 mm PS12A	12.7x55_mm_ps12a
9x18 mm PM PBM	9x18_mm_pm_pbm
5.56x45 mm 55 HP	5.56x45_mm_55_hp
7.62x39 mm HP	7.62x39_mm_hp
5.45x39 mm PS	5.45x39_mm_ps
9x18 mm PM PSV	9x18_mm_pm_psv
9x18 PM mm RG028 gzh	9x18_mm_pm_rg028_gzh
7.62x25mm TT LRNPC	7.62x25mm_tt_lrnpc
7.62x25mm TT Pst gzh	7.62x25mm_tt_pst_gzh
9x18 mm PM SP8 gzh	9x18_mm_pm_sp8_gzh
70 HP Slug Copper Sabot Premier	12_70_hp_slug_copper_sabot_premier
70 Devastator Slug	20_70_devastator_slug
7.62x25mm TT PT gzh	7.62x25mm_tt_pt_gzh
.366 TKM Geksa	.366_tkm_geksa
9x19 mm Green Tracer	9x19_mm_green_tracer
9x18 mm PM 9 BZT gzh	9x18_mm_pm_9_bzt_gzh
9x19 mm Pst gzh	9x19_mm_pst_gzh
70 HP Slug "SuperFormance"	12_70_hp_slug_superformance
7.62x25mm TT P gl	7.62x25mm_tt_p_gl
7.62x39 mm T45M	7.62x39_mm_t45m
12x70 shell with .50 BMG bullet	12x70_shell_with_.50_bmg_bullet
.366 TKM EKO	.366_tkm_eko
5.45x39 mm US	5.45x39_mm_us
7.62x25mm TT LRN	7.62x25mm_tt_lrn
9x18 mm PM PPe gzh	9x18_mm_pm_ppe_gzh
9x18 mm PM PSO gzh	9x18_mm_pm_pso_gzh
7.62x25mm TT FMJ43	7.62x25mm_tt_fmj43
5.45x39 mm FMJ	5.45x39_mm_fmj
7.62x25mm TT AKBS	7.62x25mm_tt_akbs
9x19 mm PSO gzh	9x19_mm_pso_gzh
9x18 mm PM Pst gzh	9x18_mm_pm_pst_gzh
9x18 mm PM PPT gzh	9x18_mm_pm_ppt_gzh
70 Star Slug	20_70_star_slug
5.45x39 mm HP	5.45x39_mm_hp
70 FTX Custom LIte Slug	12_70_ftx_custom_lite_slug
9x18 mm PM PRS gs	9x18_mm_pm_prs_gs
70 Flechette	12_70_flechette
70 8.5 mm "Magnum" Buckshot	12_70_8.5_mm_magnum_buckshot
5.45x39 mm T	5.45x39_mm_t
.366 TKM FMJ	.366_tkm_fmj
70 "Poleva-6u" Slug	12_70_poleva-6u_slug
9x18 mm PM PS gs PPO	9x18_mm_pm_ps_gs_ppo
70 Dual Sabot Slug	12_70_dual_sabot_slug
70 Grizzly 40 Slug	12_70_grizzly_40_slug
70 Slug Poleva-6u	20_70_slug_poleva-6u
70 Slug "Poleva-3"	20_70_slug_poleva-3
5.45x39 mm PRS	5.45x39_mm_prs
70 "Poleva-3" Slug	12_70_poleva-3_slug
12x70 6.5 mm "Express" Buckshot	12x70_6.5_mm_express_buckshot
70 7.3mm Buckshot	20_70_7.3mm_buckshot
70 5.25mm Buckshot	12_70_5.25mm_buckshot
12x70 Led slug	12x70_led_slug
70 6.2mm Buckshot	20_70_6.2mm_buckshot
12x70 7mm Buckshot	12x70_7mm_buckshot
70 5.6mm Buckshot	20_70_5.6mm_buckshot
9x18 mm PM 9 P gzh	9x18_mm_pm_9_p_gzh
20x70 7.5mm Buckshot	20x70_7.5mm_buckshot
X-47 AK 7.62x39 50 rnd magazine	x-47_ak_7.62x39_50_rnd_magazine
7.62x54r ProMag OPFOR for Archangel Mosin rifle kit, 10-round capacity	7.62x54r_promag_opfor_for_archangel_mosin_rifle_kit,_10-round_capacity
Magpul PMAG D-60 5.56x45 60-round magazine	magpul_pmag_d-60_5.56x45_60-round_magazine
30-round SR3M.130 9x39 SR3M magazine	30-round_sr3m.130_9x39_sr3m_magazine
100-round MAG5-100 5.56x45 STANAG magazine	100-round_mag5-100_5.56x45_stanag_magazine
X Products X-5 MP5 50-round 9x19 magazine	x_products_x-5_mp5_50-round_9x19_magazine
60-round MAG5-60 5.56x45 STANAG magazine	60-round_mag5-60_5.56x45_stanag_magazine
F5 MPX Drum mag 50-round 9x19 magazine	f5_mpx_drum_mag_50-round_9x19_magazine
ProMag AALVX 35 7.62x39 35-round SKS magazine.	promag_aalvx_35_7.62x39_35-round_sks_magazine.
12.7x55 magazine for ASh-12, 20-round capacity	12.7x55_magazine_for_ash-12,_20-round_capacity
60-round 6L31 5.45x39 magazine for AK-74 and compatibles	60-round_6l31_5.45x39_magazine_for_ak-74_and_compatibles
PPSH 9x18PM 84-round drum mag for PM	pm_ppsh_9x18pm_84-round_drum_mag_for_pm
Five-seveN 20-Round 5.7x28 magazine	five-seven_20-round_5.7x28_magazine
X-14 M14 50 round 7.62x51 magazine	x-14_m14_50_round_7.62x51_magazine
SA-58 7.62x51 50 rnd magazine	x-fal_fal_sa-58_7.62x51_50_rnd_magazine
76 magazine for SOK-12 and compatible weapons	maxrounds_powermag_20-round_12_76_magazine_for_sok-12_and_compatible_weapons
Standard MP7 40-round 4.6x30 magazine	standard_mp7_40-round_4.6x30_magazine
FN magazine for P90, 50-round capacity	fn_magazine_for_p90,_50-round_capacity
20-round SVD 7.62x54 magazine	20-round_svd_7.62x54_magazine
KAC Steel 10 7.62x51 10 rnd	kac_steel_10_7.62x51_10_rnd
Promag AA-70 10-round .308 M700 magazine	promag_aa-70_10-round_.308_m700_magazine
ProMag AK-A-16 73-round 7.62x39 magazine for AKM and compatibles	promag_ak-a-16_73-round_7.62x39_magazine_for_akm_and_compatibles
Standard 9x19 15-round magazine for MP9	standard_9x19_15-round_magazine_for_mp9
7.62x51 metal magazine for VPO-101 and compatibles, 10-round capacity	7.62x51_metal_magazine_for_vpo-101_and_compatibles,_10-round_capacity
10-round .308 DVL-10 magazine	10-round_.308_dvl-10_magazine
95-round 5.45x39 magazine for RPK-16 and compatibles	95-round_5.45x39_magazine_for_rpk-16_and_compatibles
Standard 9x19 20-round magazine for MP9	standard_9x19_20-round_magazine_for_mp9
Standard MP7 20-round 4.6x30 magazine	standard_mp7_20-round_4.6x30_magazine
4-shell M870 12ga magazine cap	4-shell_m870_12ga_magazine_cap
Standard MP5 20-round 9x19 magazine	standard_mp5_20-round_9x19_magazine
Promag AA-70 20-round .308 M700 magazine	promag_aa-70_20-round_.308_m700_magazine
M14 30 round 7.62x51 magazine	m14_30_round_7.62x51_magazine
10-round polymer magazine 7.62x54R for SV-98	10-round_polymer_magazine_7.62x54r_for_sv-98
P226 Extended magazine 9x19	p226_extended_magazine_9x19
Molot magazine for AK and compatibles, 75-round capacity	molot_magazine_for_ak_and_compatibles,_75-round_capacity
10-round SVD 7.62x54 magazine	10-round_svd_7.62x54_magazine
HK Polymer mag 30 5.56x45 STANAG 30-round magazine	hk_polymer_mag_30_5.56x45_stanag_30-round_magazine
SGMT Drum mag for Glock 9x19, 50 rounds capacity	sgmt_drum_mag_for_glock_9x19,_50_rounds_capacity
12.7x55 magazine for ASh-12, 10-round capacity	12.7x55_magazine_for_ash-12,_10-round_capacity
LR GEN M3 20 7.62x51 20 rnd	pmag_sr_lr_gen_m3_20_7.62x51_20_rnd
12-round .308 MDT AICS M700 magazine	12-round_.308_mdt_aics_m700_magazine
Arsenal CWP 30-round 5.56x45 magazine for SLR-106 and compatible weapons	arsenal_cwp_30-round_5.56x45_magazine_for_slr-106_and_compatible_weapons
20-round 6L25 9x39 VSS magazine	20-round_6l25_9x39_vss_magazine
Standard 9x19 30-round magazine for MP9	standard_9x19_30-round_magazine_for_mp9
Standard MP7 30-round 4.6x30 magazine	standard_mp7_30-round_4.6x30_magazine
Glock 9x19 magazine	glock_9x19_magazine
PMAG GEN M3 20 5.56x45 STANAG 20-round magazine	pmag_gen_m3_20_5.56x45_stanag_20-round_magazine
5-round .308 AICS M700 magazine	5-round_.308_aics_m700_magazine
Magpul PMAG .308 AC 5-round M700 magazine	magpul_pmag_.308_ac_5-round_m700_magazine
Standard MPX 20-round 9x19 magazine	standard_mpx_20-round_9x19_magazine
ProMag SKS-A5 7.62x39 20-round SKS magazine	promag_sks-a5_7.62x39_20-round_sks_magazine
5-round .308 M700 magazine	5-round_.308_m700_magazine
MPX with TTI Base pad +11 41-round 9x19 magazine	mpx_with_tti_base_pad_ 11_41-round_9x19_magazine
Magpul PMAG .308 AC 10-round M700 magazine	magpul_pmag_.308_ac_10-round_m700_magazine
10-round .308 AICS M700 magazine	10-round_.308_aics_m700_magazine
SA-58 7.62x51 30 rnd	fal_sa-58_7.62x51_30_rnd
TROY Battlemag 5.56x45 STANAG 30-round magazine	troy_battlemag_5.56x45_stanag_30-round_magazine
MP-153 8-rd magazine extension	mp-153_8-rd_magazine_extension
L1A1 7.62x51 30 rnd magazine	british_fal_l1a1_7.62x51_30_rnd_magazine
P226 magazine	p226_magazine
10-round 6L24 9x39 VSS magazine	10-round_6l24_9x39_vss_magazine
5-round .308 T-5000 magazine	5-round_.308_t-5000_magazine
PMAG GEN M3 30 5.56x45 STANAG 30-round magazine	pmag_gen_m3_30_5.56x45_stanag_30-round_magazine
Standard MP5 30-round 9x19 magazine	standard_mp5_30-round_9x19_magazine
Pmag GL9 polymer magazine	pmag_gl9_polymer_magazine
Standard 9x19 25-round magazine for MP9	standard_9x19_25-round_magazine_for_mp9
M9A3 9x19 17-round magazine	m9a3_9x19_17-round_magazine
PUFGUN SG-919 30 30-round 9x19 magazine for PP-19-01	pufgun_sg-919_30_30-round_9x19_magazine_for_pp-19-01
KAC Steel 20 7.62x51 20 rnd	kac_steel_20_7.62x51_20_rnd
Regular 4rnd magazine for Mosin rifle	regular_4rnd_magazine_for_mosin_rifle
Palm US AK30 7.62x39 magazine for AK and compatibles, 30-round capacity	palm_us_ak30_7.62x39_magazine_for_ak_and_compatibles,_30-round_capacity
"Big Stick" 9x19 magazine for Glock 9x19	big_stick_9x19_magazine_for_glock_9x19
40-round PMAG GEN M3 40 5.56x45 STANAG magazine	40-round_pmag_gen_m3_40_5.56x45_stanag_magazine
HK Steel Maritime 5.56x45 STANAG 30-round magazine	hk_steel_maritime_5.56x45_stanag_30-round_magazine
Izhmash AK magazine (issued ‘55 or later) 30-round for 7.62x39 AK and compatibles	izhmash_ak_magazine_(issued_‘55_or_later)_30-round_for_7.62x39_ak_and_compatibles
PMAG GEN M3 W 30 5.56x45 STANAG 30-round magazine	pmag_gen_m3_w_30_5.56x45_stanag_30-round_magazine
Standard 9x18PM 30-round magazine for PP-91	standard_9x18pm_30-round_magazine_for_pp-91
10 rnds. SKS internal box magazine 7.62x39	10_rnds._sks_internal_box_magazine_7.62x39
10-round .308 M700 magazine	10-round_.308_m700_magazine
PMAG GEN M3 10 5.56x45 STANAG 10-round magazine	pmag_gen_m3_10_5.56x45_stanag_10-round_magazine
AKM GEN M3 7.62x39 magazine for AK and compatibles, 30-round capacity	pmag_30_ak_akm_gen_m3_7.62x39_magazine_for_ak_and_compatibles,_30-round_capacity
M1A 20 round 7.62x51 magazine	m1a_20_round_7.62x51_magazine
SA-58 "MMW" 7.62x51 20 rnd plastic mag	fal_sa-58_mmw_7.62x51_20_rnd_plastic_mag
MP-443 9x19 18-round magazine	mp-443_9x19_18-round_magazine
HK PM Gen.2 5.56x45 STANAG 30-round magazine	hk_pm_gen.2_5.56x45_stanag_30-round_magazine
SR1-MP magazine	sr1-mp_magazine
5-shot MC 20-01 Sb.3 20ga magazine for TOZ-106	5-shot_mc_20-01_sb.3_20ga_magazine_for_toz-106
7.62x51 metal magazine for VPO-101 and compatibles, 5-round capacity	7.62x51_metal_magazine_for_vpo-101_and_compatibles,_5-round_capacity
SA-58 7.62x51 10 rnd	fal_sa-58_7.62x51_10_rnd
Pmag 30 AK74 GEN M3 5.45x39 magazine for AK and compatibles, 30-round capacity	pmag_30_ak74_gen_m3_5.45x39_magazine_for_ak_and_compatibles,_30-round_capacity
30-round 5.45x39 magazine for AK-12 and compatibles	30-round_5.45x39_magazine_for_ak-12_and_compatibles
Standard MPX 30-round 9x19 magazine	standard_mpx_30-round_9x19_magazine
Standard PP-19-01 30-round 9x19 magazine	standard_pp-19-01_30-round_9x19_magazine
7-shell M870x7 12ga magazine	7-shell_m870x7_12ga_magazine
45-round 6L26 5.45x39 magazine for AK-74 and compatibles	45-round_6l26_5.45x39_magazine_for_ak-74_and_compatibles
SAI-02 10-round 12x76 magazine for SOK-12 and compatible weapons	sai-02_10-round_12x76_magazine_for_sok-12_and_compatible_weapons
Bakelite 7.62x39 magazine for AK and compatibles, 40-round capacity	bakelite_7.62x39_magazine_for_ak_and_compatibles,_40-round_capacity
Standard 9x18PM 20-round magazine for PP-91	standard_9x18pm_20-round_magazine_for_pp-91
30-round 7.62x39 magazine for АK-103 and compatible weapons	30-round_7.62x39_magazine_for_ak-103_and_compatible_weapons
4-shot MC 20-01 Sb.3 20ga magazine for TOZ-106	4-shot_mc_20-01_sb.3_20ga_magazine_for_toz-106
6L18 45-round 5.45x39 magazine for AK-74 and compatible weapons	6l18_45-round_5.45x39_magazine_for_ak-74_and_compatible_weapons
10-shell M870x10 12ga magazine	10-shell_m870x10_12ga_magazine
Izhmash 6L10 7.62x39 magazine for AK and compatibles, 30-round capacity	izhmash_6l10_7.62x39_magazine_for_ak_and_compatibles,_30-round_capacity
TT-105 7.62x25 TT Magazine	tt-105_7.62x25_tt_magazine
6L29 30-round 5.56x45 magazine for АK-101 and compatible weapons	6l29_30-round_5.56x45_magazine_for_ak-101_and_compatible_weapons
90-93 9x18PM Magazine, for 8 PM rounds	90-93_9x18pm_magazine,_for_8_pm_rounds
PUFGUN SG-919 20 20-round 9x19 magazine for PP-19-01	pufgun_sg-919_20_20-round_9x19_magazine_for__pp-19-01
Standard APS 9x18PM 20-round magazine	standard_aps_9x18pm_20-round_magazine
SA-58 7.62x51 20 rnd	fal_sa-58_7.62x51_20_rnd
6L20 30-round 5.45x39 magazine for AK-74 and compatible weapons	6l20_30-round_5.45x39_magazine_for_ak-74_and_compatible_weapons
MP-153 5-rd magazine extension	mp-153_5-rd_magazine_extension
10-round Saiga 545 5.45x39 magazine for AK-74 and compatibles	10-round_saiga_545_5.45x39_magazine_for_ak-74_and_compatibles
Molot 6P2.Sb-11 7.62x39 magazine for AK and compatibles, 40-round capacity	molot_6p2.sb-11_7.62x39_magazine_for_ak_and_compatibles,_40-round_capacity
76 magazine for SOK-12 and compatible weapons	sb.5_5-round_12_76_magazine_for_sok-12_and_compatible_weapons
8-shell MP-133x8 12ga magazine	8-shell_mp-133x8_12ga_magazine
6-shell MP-133x6 12ga magazine	6-shell_mp-133x6_12ga_magazine
Colt AR-15 5.56x45 STANAG 30-round magazine	colt_ar-15_5.56x45_stanag_30-round_magazine
30-round 6L23 5.45x39 magazine for AK-74 and compatibles	30-round_6l23_5.45x39_magazine_for_ak-74_and_compatibles
7.62x39 ribbed metal magazine for AK and compatibles, 10-round capacity	7.62x39_ribbed_metal_magazine_for_ak_and_compatibles,_10-round_capacity
MP-153 6-rd magazine extension	mp-153_6-rd_magazine_extension
MP-153 7-rd magazine extension	mp-153_7-rd_magazine_extension
Izhmash 7.62x39 AKMS aluminium magazine for AK and compatibles, 30-round capacity	izhmash_7.62x39_akms_aluminium_magazine_for_ak_and_compatibles,_30-round_capacity
10-round Izh.9x19 Sb.7 magazine	10-round_izh.9x19_sb.7_magazine
2-shot MC 20-01 Sb.3 20ga magazine for TOZ-106	2-shot_mc_20-01_sb.3_20ga_magazine_for_toz-106
Izhmash 7.62x39 AK aluminium magazine for AK and compatibles, 10-round capacity	izhmash_7.62x39_ak_aluminium_magazine_for_ak_and_compatibles,_10-round_capacity
LA-5 tactical device	la-5_tactical_device
Zenit Perst-3 tactical device	zenit_perst-3_tactical_device
PEQ-15 tactical device	an_peq-15_tactical_device
Steiner Dbal PL tactical flashlight	steiner_dbal_pl_tactical_flashlight
TAC 2 tactical flashlight	las_tac_2_tactical_flashlight
2U "Kleh" tactical flashlight	2u_kleh_tactical_flashlight
2IRS Klesch flashlight + laser designator	2irs_klesch_flashlight_ _laser_designator
Surefire XC1 tactical flashlight	surefire_xc1_tactical_flashlight
Glock Tactical GL21 flashlight with laser	glock_tactical_gl21_flashlight_with_laser
PEQ-2 tactical device	an_peq-2_tactical_device
Holosun LS321 Tactical device	holosun_ls321_tactical_device
DLP "Tactical Precision" LAM Module for TT Pistol	dlp_tactical_precision_lam_module_for_tt_pistol
2P Klesch flashlight + laser designator	2p_klesch_flashlight_ _laser_designator
X400 tactical flashlight	x400_tactical_flashlight
